ir	PPER.*.Nom.Pl.2	ir	ir
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
botschaft	NA.Fem.Nom.Sg.st	boteschaft	boteschaft
dûhte	VVFIN.*.Past.Sg.3	dûhte	dunken
in	PPER.Masc.Akk.Sg.3	in	ër
gût	ADJD.Pos	guot	guot
und	KON	und	unte
diu	DDART.Fem.Nom.Sg.*	diu	dër
gebe	NA.Fem.Nom.Sg.*	gebe	gëbe
êrsam	ADJD.Pos	êrsam	êrsam
.	$_	.	.
	
danklîchen	AVD	danclîchen	danklîche
her	PPER.Masc.Nom.Sg.3	her	ër
si	PPER.Fem.Akk.Sg.3	si	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
alsez	KO*|PPER.Neut.Nom.Sg.3	als|ez	allsô|ër
michel	AVD	michel	michel
reht	ADJD.Pos	reht	rëht
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
<	ITJ	âmen	âmen
ûwer	DPOSA	iuwer	iuwer
frunt	NA.Masc.Nom.Sg.st	vriunt	vriunt
ênêas	NE.Nom.Sg	Eneas	Eneas
sal	VMFIN.Ind.Pres.Sg.3	sal	solen
mir	PPER.*.Dat.Sg.1	mir	ich
willikomen	ADJD.Pos	willekomen	willekomen
sîn	VAINF	sîn	sîn
!	$_	!	!
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
ime	PPER.Masc.Dat.Sg.3	ime	ër
wole	AVD	wole	wole
schîn	ADJD.Pos	schîn	schîn
,	$_	,	,
mûz	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
ich	PPER.*.Nom.Sg.1	ich	ich
und	KON	und	unte
her	PPER.Masc.Nom.Sg.3	her	ër
leben.>	VVINF	leben	lëben
dô	AVD	dô	dô
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
her	PPER.Masc.Nom.Sg.3	her	ër
den	DDART.*.Dat.Pl.*	den	dër
boten	NA.Masc.Akk.Sg.wk	boten	bote
geben	VVINF	geben	gëben
driu	CARDA.Neut.Akk.Pl.st	driu	drî
hundert	ADJS.Pos.Neut.Akk.Pl.*	hundert	hundert
ros	NA.Neut.Akk.Pl.st	ros	ross
schône	AVD	schône	schône
ze	APPR	ze	ze
danke	NA.Masc.Dat.Sg.st	danke	dank
und	KON	und	unte
ze	APPR	ze	ze
lône	NA.Masc,Neut.Dat.Sg.st	lône	lôn
zêren	APPR|NA.Fem.Dat.Pl.*	ze|êren	ze|êre
unde	KON	unde	unte
ze	APPR	ze	ze
minnen	NA.Fem.Dat.Pl.*	minnen	minne
.	$_	.	.
	
diu	DDS.Neut.Akk.Pl.*	diu	dër
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
wol	AVD	wole	wole
gewinnen	VVINF	gewinnen	gewinnen
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
.	$_	.	.
	
ênêase	NE.Dat.Sg	Enease	<unknown>
her	PPER.Masc.Nom.Sg.3	her	ër
sande	VVFIN.*.Past.Sg.3	sante	sènten
zeheniu	DIA.Neut.Akk.Pl.st	zeheniu	zehèin
vil	AVD	vile	vile
hêrlîche	AVD	hêrlîche	hêrlîche
latînûs	NE.Nom.Sg	Latînus	Latînus
der	DDART.Masc.Nom.Sg.*	der	dër
rîche	ADJA.Pos.Masc.Nom.Sg.wk	rîche	rîche
.	$_	.	.
	
dô	KOUS	dô	dô
ez	PPER.Neut.Nom.Sg.3	ez	ër
alsô	AVD	alsô	allsô
ergienk	VVFIN.Ind.Past.Sg.3	ergienc	ergân
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
die	DDART.Fem.Akk.Sg.*	die	dër
gâbe	NA.Fem.Akk.Sg.st	gâbe	gâbe
enphienk	VVFIN.Ind.Past.Sg.3	entvienc	entvâhen
und	KON	und	unte
die	DDART.Fem.Akk.Sg.*	die	dër
boteschaft	NA.Fem.Akk.Sg.st	boteschaft	boteschaft
vernam	VVFIN.Ind.Past.Sg.3	vernam	vernëmen
,	$_	,	,
dô	AVD	dô	dô
teter	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	tet|er	tuon|ër
als	KO*	als	allsô
im	PPER.Masc.Dat.Sg.3	im	ër
wol	AVD	wole	wole
gezam	VVFIN.Ind.Past.Sg.3	gezam	gezëmen
,	$_	,	,
wander	KO*|PPER.Masc.Nom.Sg.3	wande|er	wante|ër
ein	DIART.Masc.Nom.Sg.*	ein	èin
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
kunich	NA.Masc.Nom.Sg.st	küninc	küning
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
<	ITJ	âmen	âmen
ûwer	DPOSA.Masc.Nom.Sg.*	iuwer	iuwer
frunt	NA.Masc.Nom.Sg.st	vriunt	vriunt
ênêas	NE.Nom.Sg	Eneas	Eneas
der	DDS.Masc.Nom.Sg.*	der	dër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
willikomen	ADJD.Pos	willekomen	willekomen
hie	AVD	hier	hièr
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wâne	VVFIN.*.Pres.Sg.1	wæne	wænen
,	$_	,	,
daz	KOUS	daz	dazz
ern	PPER.Masc.Nom.Sg.3|PTKNEG	er|ne	ër|ne
quâme	VVFIN.Subj.Past.Sg.3	quæme	komen
nie	AVD	nie	niè
dâ	AVD	dâ	dâr
her	PPER.Masc.Nom.Sg.3	her	ër
willikomener	ADJD.Pos	willekomener	willekomen
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
.	$_	.	.
	
ir	PPER.*.Nom.Pl.2	ir	ir
solt	VMFIN.*.Pres.Pl.2	solet	solen
ime	PPER.Masc.Dat.Sg.3	ime	ër
sagen	VVINF	sagen	sagen
ein	DIART	ein	èin
mâre	NA.Neut.Akk.Sg.st	mære	mære
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
her	PPER.Masc.Nom.Sg.3	her	ër
frô	ADJD.Pos	vrô	vrô
wesen	VAINF	wesen	wësen
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
ez	PPER.Neut.Akk.Sg.3	ez	ër
wol	AVD	wole	wole
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
tach	NA.Masc.Akk.Sg.st	tac	tag
unde	KON	unde	unte
vil	AVD	vile	vile
manech	DIA.Neut.Akk.Sg.*	manic	manig
jâr	NA.Neut.Akk.Sg.st	jâr	jâr
âne	APPR	âne	âne
zwîvel	NA.Masc.Akk.Sg.st	zwîvel	zwîvel
vor	APPR	vore	vore
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
noch	AVD	noch	noh
here	AVD	here	hëre
quâme	VVFIN.Subj.Past.Sg.3	quæme	komen
,	$_	,	,
ê	AVD	êr	êr
dan	KOUS	danne	danne
ich	PPER.*.Nom.Sg.1	ich	ich
mîn	DPOSA.Masc,Neut.Akk.Sg.*	mîn	mîn
ende	NA.Masc,Neut.Akk.Sg.st	ende	ènte
nâme	VVFIN.Subj.Past.Sg.1	næme	nëmen
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
solde	VMFIN.*.Past.Sg.1	solte	solen
geleben	VVINF	geleben	gelëben
.	$_	.	.
	
mîn	DPOSA.Fem.Akk.Sg.*	mîn	mîn
tohter	NA.Fem.Akk.Sg.st	tohter	tohter
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
ime	PPER.Masc.Dat.Sg.3	ime	ër
geben	VVINF	geben	gëben
ze	APPR	ze	ze
minnen	NA.Fem.Dat.Pl.*	minnen	minne
und	KON	und	unte
ze	APPR	ze	ze
wîbe	NA.Neut.Dat.Sg.st	wîbe	wîb
und	KON	und	unte
nâch	APPR	nâch	nâh
mînem	DPOSA.Masc.Dat.Sg.st	mînem	mîn
lîbe	NA.Masc.Dat.Sg.st	lîbe	lîb
mîn	DPOSA.Neut.Akk.Sg.*	mîn	mîn
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
mîn	DPOSA.Neut.Akk.Sg.*	mîn	mîn
rîche	NA.Neut.Akk.Sg.st	rîche	rîche
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
saget	VVIMP.Pl.2	saget	sagen
im	PPER.Masc.Dat.Sg.3	im	ër
wârlîche	AVD	wærlîche	wærlîche
,	$_	,	,
wande	KO*	wande	wante
ez	PPER.Neut.Nom.Sg.3	ez	ër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
geboten	VVPP	geboten	gebièten
und	KON	und	unte
gewîssaget	VVPP	gewîssaget	wîssagen
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
goten	ADJA.Pos.Masc.Dat.Sg.wk	guoten	guot
:	$_	:	:
die	DDS.*.Akk.Pl.*	die	dër
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ichs	PPER.*.Nom.Sg.1|PPER.Neut.Akk.Sg.3	ich|ez	ich|ër
lâzen	VVINF	lâzen	lâzen
walden	VVINF	walten	walten
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
si	PPER.Fem.Akk.Sg.3	si	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
gehalden	VVPP	gehalten	halten
unze	AVD	unze	unze
an	APPR	an	ane
dise	DDA.Fem.Akk.Sg.*	dise	dise
stunt	NA.Fem.Akk.Sg.st	stunt	stunte
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
lange	AVD	lange	lange
wole	AVD	wole	wole
kunt	ADJD.Pos	kunt	kund
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
si	PPER.Fem.Akk.Sg.3	si	ër
haben	VAINF	haben	haben
solde	VMFIN.*.Past.Sg.3	solte	solen
:	$_	:	:
ich	PPER.*.Nom.Sg.1	ich	ich
wolde	VMFIN.*.Past.Sg.1	wolte	wèllen
oder	KON	oder	oder
enwolde	PTKNEG|VMFIN.*.Past.Sg.3	en|wolte	ne|wèllen
,	$_	,	,
die	DDART.*.Akk.Pl.*	die	dër
gote	NA.Masc.Akk.Pl.st	gote	got
hânt	VAFIN.Ind.Pres.Pl.3	hânt	haben
si	PPER.*.Nom.Pl.3	si	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
gegeben	VVPP	gegeben	gëben
.	$_	.	.
	
soldich	VMFIN.*.Past.Sg.1|PPER.*.Nom.Sg.1	solte|ich	solen|ich
nû	AVD	nû	nû
dar	PAVD	dâr	dâr
widerstreben	VVINF	widerstreben	widerstrëben
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
ein	DIART	ein	èin
unminne	NA.Fem.Nom.Sg.*	unminne	unminne
.	$_	.	.
	
mîn	DPOSA.Neut.Nom.Sg.*	mîn	mîn
wîb	NA.Neut.Nom.Sg.st	wîp	wîb
diu	DDART.Fem.Nom.Sg.*	diu	dër
kuniginne	NA.Fem.Nom.Sg.*	küninginne	küninginne
diu	DDS.Fem.Nom.Sg.*	diu	dër
ne	PTKNEG	ne	ne
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
mich	PPER.*.Akk.Sg.1	mich	ich
nie	AVD	nie	niè
gerûn	VVINF	geruowen	geruowen
,	$_	,	,
ê	KOUS	êr	êr
ich	PPER.*.Nom.Sg.1	ich	ich
der	PAVD	dâr	dâr
mite	PAVAP	mite	mite
mûste	VMFIN.*.Past.Sg.1	muoste	müèzen
tûn	VVINF	tuon	tuon
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
ich	PPER.*.Nom.Sg.1	ich	ich
gerne	AVD	gerne	gërne
hete	VAFIN.*.Past.Sg.1	hæte	haben
enboren	VVPP	entboren	entbëren
.	$_	.	.
	
ir	PPER.*.Nom.Pl.2	ir	ir
hât	VAFIN.*.Pres.Pl.2	hât	haben
ein	DIART.Masc.Nom.Sg.*	ein	èin
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
man	NA.Masc.Nom.Sg.st	man	mann
gesworen	VVPP	gesworen	swèren
:	$_	:	:
ein	DIART	ein	èin
vurste	NA.Masc.Nom.Sg.wk	vürste	vürste
heitet	VVFIN.Ind.Pres.Sg.3	heitet	hèiten
turnus	NE.Nom.Sg	Turnus	Turnus
sprac	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
koninc	NA.Masc.Nom.Sg.st	küninc	küning
latinus	NE.Nom.Sg	Latinus	Latînus
dem	DDS.Masc.Dat.Sg.*	dem	dër
ne	PTKNEG	ne	ne
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
si	PPER.Fem.Nom.Sg.3	si	ër
werden	VAINF	werden	wërden
niet	PTKNEG	niet	niht
.	$_	.	.
	
wandaz	KOUS	wan_daz	wan_dazz
man	PI.*.Nom.Sg.st	man	man
mir	PPER.*.Dat.Sg.1	mir	ich
ez	PPER.Neut.Akk.Sg.3	ez	ër
geriet	VVFIN.Ind.Past.Sg.3	geriet	gerâten
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
ne	PTKNEG	ne	ne
hetez	VAFIN.*.Past.Sg.3|PPER.Neut.Akk.Sg.3	hæte|ez	haben|ër
nie	AVD	nie	niè
getân	VVPP	getân	tuon
:	$_	:	:
sie	PPER.Fem.Akk.Sg.3	sie	ër
mûz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
haben	VAINF	haben	haben
der	DDART.Masc.Nom.Sg.*	der	dër
troiân	NA.Masc.Nom.Sg.st	Trôjân	Trôjân
,	$_	,	,
ûr	DPOSA	iuwer	iuwer
hêre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
dem	DRELS.Masc.Dat.Sg	dem	dër
si	PPER.Fem.Nom.Sg.3	si	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
beschert	VVPP	beschert	beschèren
.	$_	.	.
	
dazn	DDS.Neut.Nom.Sg.*|PTKNEG	daz|ne	dër|ne
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
nû	AVD	nû	nû
niht	PTKNEG	niht	niht
sîn	VAINF	sîn	sîn
erwert	VVPP	erwert	erwèren
.	$_	.	.
	
ichn	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
rede	VVFIN.*.Pres.Sg.1	rede	rèden
ez	PPER.Neut.Akk.Sg.3	ez	ër
niht	PTKNEG	niht	niht
umbe	APPR	umbe	umbe
daz	DDS.Neut.Akk.Sg.*	daz	dër
,	$_	,	,
ichn	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
gunde	VVFIN.*.Past.Sg.1	gunde	gunnen
ir	DPOSA	ire	ire
turnûse	NA.Neut.Akk.Sg.st	turnûs	turnis
baz	AVD.Comp	baz	bazz
,	$_	,	,
dem	DDART.Masc.Dat.Sg.*	dem	dër
vil	AVD	vile	vile
edelen	ADJA.Pos.Masc.Dat.Sg.wk	edelen	èdele
herzogen	NA.Masc.Dat.Sg.*	herzogen	hèrezoge
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
wizzet	VVIMP.Pl.2	wizzet	wizzen
vor	APPR	vore	vore
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
ungelogen	ADJD.Pos	ungelogen	ungelogen
,	$_	,	,
ob	KOUS	ob	obe
ez	PPER.Neut.Nom.Sg.3	ez	ër
immer	AVD	iemer	ièmer
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
sîn	VAINF	sîn	sîn
.	$_	.	.
	
mîn	DPOSA.Neut.Nom.Sg.*	mîn	mîn
rîch	NA.Neut.Nom.Sg.st	rîche	rîche
und	KON	und	unte
diu	DDART.Fem.Nom.Sg.*	diu	dër
tohter	NA.Fem.Nom.Sg.st	tohter	tohter
mîn	DPOSN.Fem.Nom.Sg.*	mîn	mîn
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
wol	AVD	wole	wole
zû	APPR	ze	ze
ime	PPER.Masc.Dat.Sg.3	ime	ër
bewant	VVFIN.Ind.Past.Sg.3	bewant	bewinten
,	$_	,	,
beidiu	KON	beidiu	bèide
lûte	NA.Masc,Neut.Akk.Pl.st	liute	liut
unde	KON	unde	unte
lant	NA.Neut.Akk.Sg.st	lant	lant
,	$_	,	,
wandaz	KOUS	wan_daz	wan_dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
wesen	VAINF	wesen	wësen
niene	AVD	niene	niène
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
.	$_	.	.
	
ûrm	DPOSA.Masc.Dat.Sg.st	iuwerm	ire
hêren	NA.Masc.Dat.Sg.*	hêrren	hêrre
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
ich	PPER.*.Nom.Sg.1	ich	ich
nie	AVD	nie	niè
gesach	VVFIN.Ind.Past.Sg.1	gesach	gesëhen
,	$_	,	,
dem	DDS.Masc.Dat.Sg.*	dem	dër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
sie	PPER.Fem.Nom.Sg.3	sie	ër
enteile	APPR|NA.Masc,Neut.Dat.Sg.st	in|teile	in|tèil
getân	VVPP	getân	tuon
:	$_	:	:
turnûs	NE.Nom.Sg	Turnus	Turnus
mûz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
ir	PPER.Fem.Dat.Sg.3	ir	ër
abe	PTKVZ	abe	abe
stân	VVINF	stân	stân
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
uns	PPER.*.Dat.Pl.1	uns	wir
lieb	ADJD.Pos	liep	lièb
oder	KON	oder	oder
leit	ADJD.Pos	leit	lèid
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
ein	DIART	ein	èin
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
gemeit	ADJN.Masc.Nom.Sg.*	gemeit	gemèit
unde	KON	unde	unte
ein	DIART.Masc.Nom.Sg.*	ein	èin
stolzer	ADJA.Pos.Masc.Nom.Sg.st	stolzer	stolz
jungelink	NA.Masc.Nom.Sg.st	jungelinc	jungeling
.	$_	.	.
	
ime	PPER.Masc.Dat.Sg.3	ime	ër
sal	VMFIN.Ind.Pres.Sg.3	sal	solen
ditze	DDA.Neut.Nom.Sg.*	ditze	dise
dink	NA.Neut.Nom.Sg.st	dinc	ding
vil	AVD	vile	vile
ubile	AVD	übele	übele
gevallen	VVINF	gevallen	gevallen
und	KON	und	unte
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
frunden	NA.Masc.Dat.Pl.st	vriunden	vriunt
allen	DIN.*.Dat.Pl.st	allen	all
,	$_	,	,
den	DDART.*.Dat.Pl.*	den	dër
eigen	ADJA.Pos.*.Dat.Pl.*	eigen	èigen
und	KON	und	unte
den	DDART.*.Dat.Pl.*	den	dër
frîen	ADJA.Pos.*.Dat.Pl.*	vrîen	vrî
;	$_	;	;
ouch	AVD	ouch	ouch
solen	VMFIN.*.Pres.Pl.3	solen	solen
sie	PPER.*.Nom.Pl.3	sie	ër
mich	PPER.*.Akk.Sg.1	mich	ich
zîen	VVINF	ziehen	zièhen
der	DDART.Fem.Gen.Sg.*	der	dër
scholt	NA.Fem.Gen.Sg.st	schult	schulde
umb	APPR	umbe	umbe
dise	DDA.Fem.Akk.Sg.*	dise	dise
missetât	NA.Fem.Akk.Sg.st	missetât	missetât
.	$_	.	.
	
iedoch	AVD	iedoch	ièdoh
nis	PTKNEG|VAFIN.Ind.Pres.Sg.3	ne|is	ne|sîn
es	PPER.Neut.Gen.Sg.3	es	ër
ander	DIA	ander	ander
rât	NA.Masc.Nom.Sg.st	rât	rât
,	$_	,	,
es	PPER.Neut.Nom.Sg.3	ez	ër
ne	PTKNEG	ne	ne
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
niht	PTKNEG	niht	niht
werden	VAINF	werden	wërden
bûz	NA.Masc.Nom.Sg.st	buoz	buoz
,	$_	,	,
wand	KO*	wande	wante
mîn	DPOSA.Fem.Nom.Sg.*	mîn	mîn
tohter	NA.Fem.Nom.Sg.st	tohter	tohter
haben	VAINF	haben	haben
mûz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
ûwer	DPOSA	iuwer	iuwer
hêre	NA.Masc.Nom.Sg.*	hêrre	hêrre
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
deme	DRELS.Masc.Dat.Sg	deme	dër
sie	PPER.Fem.Nom.Sg.3	sie	ër
bescheret	VVPP	bescheret	beschèren
was	VAFIN.Ind.Past.Sg.3	was	wësen
êr	PPER.Masc.Nom.Sg.3	er	ër
si	PPER.Fem.Nom.Sg.3	si	ër
ie	AVD	ie	iè
worde	VAFIN.Subj.Past.Sg.3	würde	wërden
geboren	VVPP	geboren	gebëren
.	$_	.	.
	
turnûs	NE.Nom.Sg	Turnus	Turnus
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
si	PPER.Fem.Akk.Sg.3	si	ër
iemêr	AVD	iemer	ièmer
verloren.>	NA.Neut.Akk.Sg.st	verloren	verloren
dô	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
aber	AVD	aber	aber
latîn	NA.Neut.Nom.Sg.st	latîn	latîn
,	$_	,	,
<	DPOSA	ire	mîn
ir	PPER.*.Nom.Pl.2	ir	ir
solt	VMFIN.*.Pres.Pl.2	solet	solen
des	DDS.Neut.Gen.Sg.*	des	dër
vil	AVD	vile	vile
gewis	ADJD.Pos	gewis	gewiss
sîn	VAINF	sîn	sîn
,	$_	,	,
saget	VVIMP.Pl.2	saget	sagen
ênêase	NE.Dat.Sg	Enease	<unknown>
daz	DDS.Neut.Akk.Sg.*	daz	dër
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
sich	PRF.Akk.*.*	sich	sich
trôste	VVFIN.*.Past.Sg.3	trôste	troèsten
deste	AVD	deste	dëste
baz	AVD.Comp	baz	bazz
unde	KON	unde	unte
zû	APPR	ze	ze
uns	PPER.*.Dat.Pl.1	uns	wir
kêre	VVFIN.Subj.Pres.Sg.3	kêre	kêren
.	$_	.	.
	
hie	AVD	hier	hièr
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
im	PPER.Masc.Dat.Sg.3	im	ër
michel	ADJA.Pos	michel	michel
êre	NA.Fem.Nom.Sg.*	êre	êre
,	$_	,	,
sal	VMFIN.Ind.Pres.Sg.3	sal	solen
es	PPER.Neut.Gen.Sg.3	es	ër
gelucke	NA.Neut.Akk.Sg.st	gelücke	gelücke
walden	VVINF	walten	walten
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
in	PPER.Masc.Akk.Sg.3	in	ër
wol	AVD	wole	wole
behalden	VVINF	behalten	behalten
(	$_	(	(
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
rîche	ADJN.Masc.Nom.Sg.wk	rîche	rîche
)	$_	)	)
daz	DDS.Neut.Nom.Sg.*	daz	dër
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
im	PPER.Masc.Dat.Sg.3	im	ër
wârlîche	AVD	wærlîche	wærlîche
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
ir	PPER.Fem.Gen.Sg.3	ir	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
wole	AVD	wole	wole
gan	VVFIN.Ind.Pres.Sg.1	gân	gunnen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
aber	AVD	aber	aber
ein	DIART.Masc.Nom.Sg.*	ein	èin
alt	ADJA.Pos.Masc.Nom.Sg.*	alt	alt
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
alse	KO*	alse	allsô
ir	PPER.*.Nom.Pl.2	ir	ir
selbe	DDA.*.Nom.Pl.st	selbe	sëlb
wol	AVD	wole	wole
gesiet	VVFIN.*.Pres.Pl.2	gesiet	gesëhen
:	$_	:	:
ichn	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
mach	VMFIN.Ind.Pres.Sg.1	mac	mügen
hinnen	AVD	hinnen	hinnen
vort	AVD	vort	vort
niet	PTKNEG	niet	niht
vehten	VVINF	vehten	vëhten
noch	KON	noch	noh
strîten	VVINF	strîten	strîten
noch	KON	noch	noh
gewâfent	VVPP	gewâfenet	wâfenen
rîten	VVINF	rîten	rîten
:	$_	:	:
mir	PPER.*.Dat.Sg.1	mir	ich
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
zîtiger	ADJA.Pos.Masc.Nom.Sg.st	zîtiger	zîtig
gemach.>	NA.Masc.Nom.Sg.st	gemach	gemach
dô	KOUS	dô	dô
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
daz	DDS.Neut.Akk.Sg.*	daz	dër
gesprach	VVFIN.Ind.Past.Sg.3	gesprach	gesprëchen
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
sie	PPER.*.Akk.Pl.3	sie	ër
getrôste	VVFIN.*.Past.Sg.3	getrôste	getroèsten
alsô	AVD	alsô	allsô
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
dô	AVD	dô	dô
die	DDART.Masc.Nom.Pl.*	die	dër
boten	NA.Masc.Nom.Pl.wk	boten	bote
frô	ADJD.Pos	vrô	vrô
,	$_	,	,
daz	KOUS	daz	dazz
sie	PPER.*.Nom.Pl.3	sie	ër
ie	AVD	ie	iè
dare	AVD	dare	dare
quâmen	VVFIN.Ind.Past.Pl.3	quâmen	komen
.	$_	.	.
	
urloub	NA.Masc,Neut.Akk.Sg.st	urloup	urloub
sie	PPER.*.Nom.Pl.3	sie	ër
dô	AVD	dô	dô
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
,	$_	,	,
in	PPER.*.Dat.Pl.3	in	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
getrôstet	VVPP	getroestet	troèsten
ir	DPOSA	ire	ire
mût	NA.Masc,Neut.Nom.Sg.st	muot	muot
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
nehein	DIA.Neut.Akk.Sg.*	nehein	nehèin
michel	ADJA.Pos.Neut.Akk.Sg.*	michel	michel
gût	NA.Neut.Akk.Sg.st	guot	guot
dar	PAVD	dâr	dâr
vor	PAVAP	vore	vore
niht	PTKNEG	niht	niht
