o	ITJ	ô	ô
bey	APPR	bî	bî
mir	PPER.*.Dat.Sg.1	mir	ich
zu	APPR	zuo	ze
man	NA.Masc.Dat.Sg.st	manne	mann
,	$_	,	,
ir	DPOSA	ire	ire
lanndt	NA.Neut.Akk.Sg.st	<unknown>	<unknown>
gib	VVFIN.Ind.Pres.Sg.1	gibe	gëben
ich	PPER.*.Nom.Sg.1	ich	ich
in	PPER.*.Dat.Pl.3	in	ër
wider	AVD	wider	widere
gar	AVD	gar	gare
für	APPR	vüre	vüre
aigen	NA.Neut.Akk.Sg.st	eigen	èigen
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
aid	NA.Masc.Akk.Sg.st	eit	èid
du	PPER.*.Nom.Sg.2	dû	dû
mir	PPER.*.Dat.Sg.1	mir	ich
sollt	VMFIN.Ind.Pres.Sg.2	solt	solen
stäben	VVINF	stüben	strëben
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
ich	PPER.*.Nom.Sg.1	ich	ich
gerecht	ADJD.Pos	gereht	gerëht
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
hallten	VVINF	halten	halten
umb	APPR	umbe	umbe
dise	DDA.*.Akk.Pl.*	dise	dise
jungen	ADJA.Pos.*.Akk.Pl.wk	jungen	jung
knaben	NA.Masc.Akk.Pl.*	knaben	knabe
,	$_	,	,
oder	KON	oder	oder
got	NA.Masc.Nom.Sg.st	got	got
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
meins	DPOSA.Neut.Gen.Sg.st	mînes	mîn
hailes	NA.Neut.Gen.Sg.st	heiles	hèil
nymmer	AVD	niemer	nièmer
wallden	VVINF	walten	walten
!	$_	!	!
	
>	APPR	umbe	in
den	DDART.Masc.Akk.Sg.*	den	dër
aid	NA.Masc.Akk.Sg.st	eit	èid
er	PPER.Masc.Nom.Sg.3	er	ër
schwuer	VVFIN.Ind.Past.Sg.3	swuor	swèren
mit	APPR	mit	mit
auferhaben	ADJA.Pos.*.Dat.Pl.*	ûferhaben	ûferhèben
vingern	NA.Masc.Dat.Pl.st	vingern	vinger
:	$_	:	:
wo	AVW	wâ	wâr
sy	PPER.*.Nom.Pl.3	si	ër
et	AVD	et	ëht
ainicher	ADJA.Pos.Fem.Gen.Sg.st	einiger	èinig
not	NA.Fem.Gen.Sg.st	nôt	nôt
beswert	VVPP	beswært	beswæren
,	$_	,	,
das	DDS.Neut.Akk.Sg.*	daz	dër
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
,	$_	,	,
alls	DIA.Neut.Akk.Sg.st	allez	all
ers	PPER.Masc.Nom.Sg.3|PPER.Neut.Akk.Sg.3	er|ez	ër|ër
möcht	VMFIN.*.Past.Sg.3	mohte	mügen
,	$_	,	,
in	PPER.*.Dat.Pl.3	in	ër
geren	VVINF	geren	gëren
ringern	VVINF	ringern	ringeren
.	$_	.	.
	
sunst	NA.Masc.Nom.Sg.st	sunst	sunst
phariens	NE.Nom.Sg	Phariens	Pharias
die	DDART.Fem.Nom.Sg.*	die	dër
jungen	ADJA.Pos.Fem.Akk.Sg.wk	jungen	jung
hin	AVD	hin	hine
fuerte	VVFIN.*.Past.Sg.3	vuorte	vüèren
auf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
sal	NA.Masc.Akk.Sg.st	sal	sal
.	$_	.	.
	
ob	KOUS	ob	obe
da	AVD	dâ	dâr
icht	NA.Neut.Nom.Sg.st	iht	iht
wurd	VAFIN.Subj.Past.Sg.3	würde	wërden
gedrungen	VVPP	gedrungen	dringen
?	$_	?	?
	
peynamen	VVFIN.Ind.Past.Pl.3	benâmen	benëmen
ja	PTKANT	jâ	jâ
den	DDART.Masc.Akk.Sg.*	den	dër
herren	NA.Masc.Akk.Sg.*	hêrren	hêrre
überall	AVD	überal	überall
.	$_	.	.
	
die	DDART.Masc.Nom.Pl.*	die	dër
künig	NA.Masc.Nom.Pl.st	küninge	küning
junng	ADJN.Masc.Nom.Pl.*	junc	<unknown>
allda	AVD	aldâ	alldâr
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
geweyset	VVPP	geweset	wësen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
het	VAFIN.*.Past.Sg.3	hæte	haben
gezieret	VVPP	gezieret	zièren
sy	PPER.Fem.Akk.Sg.3	si	ër
allsus	AVD	alsus	allsus
,	$_	,	,
das	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
sy	PPER.Fem.Akk.Sg.3	si	ër
durch	APPR	durch	durh
ir	DPOSA.Fem.Akk.Sg.*	ire	ire
clarhait	NA.Fem.Akk.Sg.st	klârheit	klârhèit
sere	AVD	sêre	sêre
preyset	VVFIN.Ind.Pres.Sg.3	prîset	prîsen
.	$_	.	.
	
claudas	NE.Nom.Sg	Claudas	Claudas
pat	VVFIN.Ind.Past.Sg.3	bat	biten
ir	PPER.Fem.Dat.Sg.3	ir	ër
mit	APPR	mit	mit
huete	NA.Fem.Dat.Sg.st	huote	huote
her	NA.Masc.Akk.Sg.*	hêrre	hêrre
phariens	NE.Akk.Sg	Phariens	Pharias
wol	AVD	wole	wole
pflegen	VVINF	pflegen	pflëgen
und	KON	und	unte
noch	AVD	noch	noh
ain	DIART.Masc.Nom.Sg.*	ein	èin
ritter	NA.Masc.Akk.Sg.st	ritter	rîtære
fruete	VVFIN.Ind.Past.Sg.3	vröuwete	vröuwen
,	$_	,	,
lambegum	NE.Akk.Sg	Lambegum	Lambegum
,	$_	,	,
ainen	DIART.Masc.Akk.Sg.st	einen	èin
küen	ADJA.Pos.Masc.Akk.Sg.*	kuon	küène
und	KON	und	unte
trewen	ADJA.Pos.Masc.Akk.Sg.*	triuwen	triuwe
degen	NA.Masc.Akk.Sg.st	degen	dëgen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
gab	VVFIN.Ind.Past.Sg.3	gap	gëben
sy	PPER.Masc.Akk.Pl.3	si	ër
ein	DIART	ein	èin
ain	DIART	ein	èin
turen	NA.Fem.Akk.Sg.st	türen	türe
hoch	NA.Fem.Akk.Sg.st	hoehe	hoèhe
und	KON	und	unte
vesste	ADJN.Fem.Akk.Sg.st	veste	vèste
.	$_	.	.
	
darauf	PAVD|PAVAP	dâr|ûf	dâr|ûf
liess	VVFIN.Ind.Past.Sg.3	liez	lâzen
ers	PPER.Masc.Nom.Sg.3|PPER.Neut.Gen.Sg.3	er|es	ër|ër
verschliessen	VVINF	versliezen	verslièzen
wol	AVD	wole	wole
;	$_	;	;
von	APPR	von	von
kost	NA.Fem,Masc.Dat.Sg.*	koste	koste
und	KON	und	unte
rat	NA.Masc.Dat.Sg.st	râte	rât
tet	VVFIN.*.Past.Sg.3	tet	tuon
man	PI.*.Nom.Sg.st	man	man
in	PPER.*.Dat.Pl.3	in	ër
doch	AVD	doch	doh
das	DDART.Neut.Akk.Sg.*	daz	dër
pesste	NA.Neut.Akk.Sg.st	beste	pfèsse
.	$_	.	.
	
awentewr,	$_	<unknown>	<unknown>
wie	AVW	wie	wiè
lannzilet	NE.Nom.Sg	<unknown>	<unknown>
in	APPR	in	in
dem	DDART.Masc,Neut.Dat.Sg.*	dem	dër
lack	NA.Masc,Neut.Dat.Sg.st	lacke	lack
erzogen	VVPP	erzogen	erzièhen
wardt	VAFIN.Ind.Past.Sg.3	wart	wërden
und	KON	und	unte
wie	AVW	wie	wiè
claudas	NE.Nom.Sg	Claudas	Claudas
petrogenlich	AVD	betrogenlîche	betrogenlîche
an	APPR	an	ane
künig	NA.Masc.Dat.Sg.st	küninge	küning
artus	NE.Gen.Sg	Artûs	Artûs
hof	NA.Masc.Dat.Sg.st	hove	hov
kam	VVFIN.Ind.Past.Sg.3	kam	komen
zu	APPR	zuo	ze
erspehen	NA.Neut.Dat.Sg.st	erspehene	erspëhen
sein	DPOSA	sîn	sîn
gelegenhait	NA.Fem.Nom.Sg.st	gelegenheit	gelëgenhèit
.	$_	.	.
	
der	DRELS.Masc.Nom.Sg	der	dër
nu	AVD	nû	nû
zu	APPR	zuo	ze
wissen	NA.Neut.Dat.Sg.*	wizzen	wizzen
gerte	VVFIN.*.Past.Sg.3	gerte	gëren
,	$_	,	,
wie	AVW	wie	wiè
lanzilet	NE.Nom.Sg	Lanzilet	Lanzilet
im	PPER.Masc.Dat.Sg.3	im	ër
lack	VVFIN.Ind.Past.Sg.3	lac	ligen
plib	VVFIN.Ind.Past.Sg.3	pflip	belîben
lebens	NA.Masc,Neut.Gen.Sg.st	lebenes	lëben
unverserte	ADJD.Pos	unversêrte	unversèret
:	$_	:	:
wie	AVW	wie	wiè
sein	DPOSA	sîn	sîn
mueter	NA.Fem.Nom.Sg.st	muoter	muoter
der	DDART.Fem.Gen.Sg.*	der	dër
geschicht	NA.Fem.Gen.Sg.st	geschiht	geschiht
vil	AVD	vile	vile
ser	AVD	sêr	sêre
erschrack	VVFIN.Ind.Past.Sg.3	erschrac	erschrëcken
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
seeet	AVD	<unknown>	<unknown>
nur	AVD	niur	niur
mit	APPR	mit	mit
zawber	NA.Neut.Dat.Sg.st	zouber	zouber
was	VAFIN.Ind.Past.Sg.3	was	wësen
gemachet	VVPP	gemachet	machen
.	$_	.	.
	
wie	AVW	wie	wiè
vorchtig	ADJD.Pos	vorhtic	vorhtig
er	PPER.Masc.Nom.Sg.3	er	ër
zu	APPR	zuo	ze
sehen	NA.Neut.Dat.Sg.st	sehen	sëhen
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
so	AVD	sô	sô
blaib	VVFIN.Ind.Past.Sg.3	beleip	belîben
menklich	AVD	maniclîche	mènnischlîche
drum	NA.Masc,Neut.Nom.Sg.st	drum	drum
lebens	NA.Masc,Neut.Gen.Sg.st	lebenes	lëben
ungeswachet	ADJD.Pos	ungeswachet	ungeswachet
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
wardt	VAFIN.Ind.Past.Sg.3	wart	wërden
von	APPR	von	von
frawen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
klaren	ADJN.*.Dat.Pl.*	klâren	klâr
mit	APPR	mit	mit
schönem	ADJA.Pos.Masc.Dat.Sg.st	schoenem	schoène
fueg	NA.Masc.Dat.Sg.st	<unknown>	<unknown>
erzogen	VVPP	erzogen	erzièhen
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
allzeit	DIA.Fem.Akk.Sg.st|NA.Fem.Akk.Sg.st	al|zît	all|zît
bey	APPR	bî	bî
im	PPER.Masc.Dat.Sg.3	im	ër
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
;	$_	;	;
des	DDS.Neut.Gen.Sg.*	des	dër
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
an	APPR	an	ane
ritters	NA.Masc.Gen.Sg.st	ritters	rîtære
fuer	NA.Neut.Dat.Sg.st	viure	viur
er	PPER.Masc.Nom.Sg.3	er	ër
unbetrogen	ADJD.Pos	unbetrogen	unbetrogen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
lert	VVFIN.Ind.Pres.Sg.3	lêrt	lêren
gefüege	ADJA.Pos.*.Akk.Pl.st	gevüege	gevüège
spil	NA.Neut.Akk.Sg.st	spil	spil
,	$_	,	,
auch	AVD	ouch	ouch
vor	APPR	vore	vore
den	DDART.*.Dat.Pl.*	den	dër
frawen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
singen	VVINF	singen	singen
,	$_	,	,
sagen	VVINF	sagen	sagen
,	$_	,	,
auch	AVD	ouch	ouch
saittenspil	NA.Neut.Akk.Sg.st	seitenspil	sèitenspil
,	$_	,	,
pirsen	NA.Fem.Akk.Pl.st	pirsen	përsône
,	$_	,	,
jagen	VVINF	jagen	jagen
in	APPR	in	in
wallden	NA.Masc.Dat.Pl.st	walden	wald
und	KON	und	unte
in	APPR	in	in
awen	NA.Fem,Masc.Dat.Pl.wk	âwen	êwe
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
lert	VVFIN.Ind.Pres.Sg.3	lêrt	lêren
in	PPER.Masc.Akk.Sg.3	in	ër
vechten	VVINF	vehten	vëhten
,	$_	,	,
ringen	VVINF	ringen	ringen
und	KON	und	unte
auch	AVD	ouch	ouch
die	DDART.*.Akk.Pl.*	die	dër
scharfen	ADJA.Pos.*.Akk.Pl.wk	scharpfen	scharpf
sper	NA.Neut.Akk.Pl.st	sper	spër
die	DDART.Fem.Akk.Sg.*	die	dër
weyte	NA.Fem.Akk.Sg.st	weite	wèite
von	APPR	von	von
im	PPER.Masc.Dat.Sg.3	im	ër
swingen	VVINF	swingen	swingen
,	$_	,	,
lauffen	VVINF	loufen	loufen
,	$_	,	,
springen	VVINF	springen	springen
und	KON	und	unte
mange	DIA.*.Akk.Pl.st	manige	manig
fuege	NA.Masc.Akk.Pl.st	vüege	vëg
mer	AVD.Comp	mêr	mêre
.	$_	.	.
	
nie	AVD	nie	niè
mueter	NA.Fem.Nom.Sg.st	muoter	muoter
zu	APPR	zuo	ze
ir	DPOSA.Neut.Dat.Sg.*	ire	ire
kind	NA.Neut.Dat.Sg.st	kinde	kind
trueg	VVFIN.Ind.Past.Sg.3	truoc	tragen
solich	DDA.Fem.Akk.Sg.*	solich	solich
mynne	NA.Fem.Akk.Sg.st	minne	minne
alls	KO*	als	allsô
dise	DDA.Fem.Nom.Sg.*	dise	dise
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
zu	APPR	zuo	ze
lannzilet	NE.Dat.Sg	<unknown>	<unknown>
,	$_	,	,
als	KO*	als	allsô
irs	PPER.*.Nom.Pl.2|PPER.Neut.Gen.Sg.3	ir|es	ir|ër
hernach	PAVD|PAVAP	her|nâch	hëre|nâh
vil	AVD	vile	vile
wol	AVD	wole	wole
mügt	VMFIN.*.Pres.Pl.2	müget	mügen
werden	VAINF	werden	wërden
inne	PTKVZ	inne	inne
.	$_	.	.
	
füran	AVD	vüre	vürenam
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
nu	AVD	nû	nû
sagen	VVINF	sagen	sagen
von	APPR	von	von
claudas	NE.Dat.Sg	Claudas	Claudas
dem	DDART.Masc.Dat.Sg.*	dem	dër
vil	AVD	vile	vile
reichen	ADJA.Pos.Masc.Dat.Sg.wk	rîchen	rîche
,	$_	,	,
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
zu	APPR	zuo	ze
manigen	DIA.*.Dat.Pl.st	manigen	manig
tagen	NA.Masc.Dat.Pl.st	tagen	tag
die	DDART.Fem.Akk.Sg.*	die	dër
lanndt	NA.Fem.Akk.Sg.st	<unknown>	<unknown>
regirte	VVFIN.*.Past.Sg.3	regerte	règièren
vil	AVD	vile	vile
gewaltiglichen	AVD	gewalticlîchen	gewaltiglîche
.	$_	.	.
	
durch	APPR	durch	durh
hochen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
muet	NA.Masc.Akk.Sg.st	muot	muot
ains	DIART.Masc.Gen.Sg.st	eines	èin
tags	NA.Masc.Gen.Sg.st	tages	tag
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
bedachte	VVFIN.Ind.Past.Sg.3	bedâhte	bedènken
,	$_	,	,
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
es	PPER.Neut.Akk.Sg.3	ez	ër
bringen	VVINF	bringen	bringen
möcht	VMFIN.*.Past.Sg.3	mohte	mügen
darzu	PAVD|PAVAP	dâr|zuo	dâr|zuo
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
artus	NE.Nom.Sg	Artûs	Artûs
im	PPER.Masc.Dat.Sg.3	im	ër
undertenig	ADJD.Pos	undertænic	untertænig
machte	VVFIN.*.Past.Sg.3	machete	machen
.	$_	.	.
	
<peynam	VVFIN.Ind.Past.Sg.3	<unknown>	<unknown>
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
besehen	VVINF	besehen	besëhen
,	$_	,	,
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
es	PPER.Neut.Akk.Sg.3	ez	ër
zu	PTKVZ	zuo	zuo
müg	VMFIN.Subj.Pres.Sg.1	müge	mügen
pringen	VVINF	bringen	bringen
.	$_	.	.
	
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
ob	KOUS	ob	obe
das	DDS.Neut.Nom.Sg.*	daz	dër
möcht	VMFIN.*.Past.Sg.3	mohte	mügen
beschehen	VVINF	beschehen	beschëhen
?	$_	?	?
	
füranall	DIA	vüreanal	vüreandel
künig	NA.Masc.Akk.Sg.st	küninc	küning
müessten	VMFIN.*.Past.Pl.3	muosten	müèzen
mit	APPR	mit	mit
mir	PPER.*.Dat.Sg.1	mir	ich
dingen	VVINF	dingen	dingen
;	$_	;	;
durch	APPR	durch	durh
vorcht	NA.Fem.Akk.Sg.st	vorht	vorhte
müesten	VMFIN.*.Past.Pl.3	muosten	müèzen
sy	PPER.*.Nom.Pl.3	si	ër
vallten	VVFIN.*.Past.Pl.3	vallten	vallen
mir	PPER.*.Dat.Sg.1	mir	ich
ir	DPOSA	ire	ire
hennde	NA.Fem.Akk.Pl.st	hende	hant
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
enlass	PTKNEG|VVFIN.Ind.Past.Sg.1	en|las	ne|lësen
es	PPER.Neut.Gen.Sg.3	es	ër
nicht	PTKNEG	niht	niht
,	$_	,	,
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
drumb	PAVD|PAVAP	dâr|umbe	dâr|umbe
solt	VMFIN.*.Past.Sg.1	solte	solen
all	DIA	al	all
meiner	DPOSA.*.Gen.Pl.st	mîner	mîn
lannde	NA.Neut.Gen.Pl.st	lande	lant
jo	AVD	jô	iè
werden	VAINF	werden	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
ellennde.>	NA.Neut.Gen.Pl.st	ellende	<unknown>
sunst	NA.Masc.Nom.Sg.st	sunst	sunst
er	PPER.Masc.Nom.Sg.3	er	ër
für	APPR	vüre	vüre
sich	PRF.Akk.*.*	sich	sich
besannde	VVPS	besante	besènnen
fürsten	NA.Masc.Akk.Pl.wk	vürsten	vürste
und	KON	und	unte
allboronen	NA.Fem.Akk.Pl.st	allebrônen	allerone
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
lannde	NA.Neut.Dat.Sg.st	lande	lant
,	$_	,	,
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
des	DDART.Neut.Gen.Sg.*	des	dër
lannds	NA.Neut.Gen.Sg.st	landes	<unknown>
ain	DIART.Fem,Neut.Akk.Sg.*	ein	èin
zeit	NA.Fem,Neut.Akk.Sg.st	zît	zît
sich	PRF.Akk.*.*	sich	sich
anen	VVINF	ânen	ânen
.	$_	.	.
	
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
heiligen	ADJA.Pos.*.Dat.Pl.*	heiligen	hèilig
ain	DIART	ein	èin
walfart	NA.Fem.Akk.Sg.st	walvart	wâlvart
hiet	VAFIN.*.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
verhaissen	VVPP	verheizen	verhèizen
in	APPR	in	in
rechter	ADJA.Pos.Fem.Dat.Sg.st	rehter	rëht
not	NA.Fem.Dat.Sg.st	nôt	nôt
,	$_	,	,
dieweret	AVD	dieweret	dièwërt
verr	AVD	verr	vërre
und	KON	und	unte
weyt	VVFIN.Ind.Past.Sg.3	weit	wîten
ausserhalb	APPR	ûzerhalben	ûzerhalben
seiner	DPOSA.*.Gen.Pl.st	sîner	sîn
lannde	NA.Neut.Gen.Pl.st	lande	lant
kraissen	NA.Neut.Akk.Sg.st	kratzen	kratzen
.	$_	.	.
	
zu	APPR	zuo	ze
füeren	NA.Neut.Dat.Sg.wk	vüeren	vüèren
er	PPER.Masc.Nom.Sg.3	er	ër
willen	NA.Masc.Akk.Sg.*	willen	wille
hette	VAFIN.*.Past.Sg.3	hette	haben
nicht	NA.Neut.Akk.Sg.st	niht	niht
wenn	KOKOM	wen	wan
et	KO*	et	ëht
ainen	DIART.Masc.Akk.Sg.st	einen	èin
knecht	NA.Masc.Akk.Sg.st	kneht	knëht
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
er	PPER.Masc.Nom.Sg.3	er	ër
wesst	VVFIN.*.Past.Sg.3	wesse	wizzen
trewen	NA.Fem.Gen.Pl.*	triuwen	triuwe
stäte	NA.Fem.Akk.Sg.st	state	stat
.	$_	.	.
	
sunst	NA.Masc.Akk.Sg.st	sunst	sunst
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
weg	NA.Masc.Akk.Sg.st	wec	wëg
vil	AVD	vile	vile
still	AVD	still	stille
an	APPR	an	ane
lautes	NA.Neut.Gen.Sg.st	liutes	lût
brecht	VVINF	brehten	bringen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
jach:<	VVFIN.Ind.Past.Sg.3	jach	jëhen
ir	PPER.*.Nom.Pl.2	ir	ir
sollt	VMFIN.*.Pres.Pl.2	solet	solen
mir	PPER.*.Dat.Sg.1	mir	ich
des	DDS.Neut.Gen.Sg.*	des	dër
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
heiligen	ADJA.Pos.*.Dat.Pl.*	heiligen	hèilig
sweren	VVINF	sweren	swèren
,	$_	,	,
ob	KOUS	ob	obe
mich	PPER.*.Akk.Sg.1	mich	ich
got	NA.Masc.Nom.Sg.st	got	got
auf	APPR	ûf	ûf
meiner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
lanngen	ADJA.Pos.Fem.Dat.Sg.wk	langen	lang
rays	NA.Fem.Dat.Sg.st	reise	rase
gesundes	NA.Masc.Gen.Sg.st	gesundes	gesunt
oder	KON	oder	oder
lebens	NA.Masc,Neut.Gen.Sg.st	lebenes	lëben
wollt	VMFIN.*.Past.Sg.3	wolte	wèllen
beheren	VVINF	beheren	behêren
,	$_	,	,
das	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
bohorten	NA.Masc.Nom.Pl.*	bohehorten	bohehorte
paren	VVINF	bâren	bâren
mit	APPR	mit	mit
rue	NA.Fem,Masc.Dat.Sg.*	riuwe	riuwe
ir	PPER.*.Nom.Pl.2	ir	ir
läut	NA.Masc,Neut.Akk.Pl.st	liute	liut
und	KON	und	unte
lannd	NA.Neut.Akk.Sg.st	<unknown>	<unknown>
wellet	VMFIN.*.Pres.Pl.2	wellet	wèllen
lan	VVINF	lân	lâzen
widerfaren	VVINF	widervaren	widervaren
.	$_	.	.
	
des	DDART.Masc.Gen.Sg.*	des	dër
aydes	NA.Masc.Gen.Sg.st	eides	èid
seid	VAIMP.Pl.2	seit	sîn
durch	APPR	durch	durh
got	NA.Masc.Akk.Sg.st	got	got
vil	AVD	vile	vile
hoch	AVD	hôch	hôhe
ermannt	VVPP	ermanet	ermanen
.	$_	.	.
	
auch	KO*	ouch	ouch
lert	VVFIN.Ind.Pres.Sg.3	lêrt	lêren
mein	DPOSA	mîn	mîn
sun	NA.Masc.Nom.Sg.st	sun	sun
frid	NA.Masc.Akk.Sg.*	vride	vride
,	$_	,	,
guet	ADJA.Pos	guot	guot
gerichte	NA.Neut.Akk.Sg.st	gerihte	gerihte
hallden	VVINF	halten	halten
,	$_	,	,
die	DDART.*.Akk.Pl.*	die	dër
armen	ADJA.Pos.*.Akk.Pl.wk	armen	arm
hören	VVINF	hoeren	hoèren
umb	APPR	umbe	umbe
ir	DPOSA	ire	ire
not	NA.Fem.Akk.Sg.st	nôt	nôt
,	$_	,	,
so	AVD	sô	sô
mögt	VMFIN.*.Pres.Pl.2	müget	mügen
ir	PPER.*.Nom.Pl.2	ir	ir
und	KON	und	unte
auch	AVD-KO*	ouch	ouch
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
eren	NA.Fem.Dat.Pl.*	êren	êre
allden.>	AVD	allen	allerniuwe
suss	AVD	sus	sus
schied	VVFIN.Ind.Past.Sg.3	schiet	schèiden
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
vor	APPR	vore	vore
hannde	NA.Fem.Dat.Sg.st	hande	hant
mit	APPR	mit	mit
klainer	ADJA.Pos.Fem.Dat.Sg.st	kleiner	klèine
messeney	NA.Fem.Dat.Sg.st	<unknown>	mèssenîe
.	$_	.	.
	
wohin	NA.Fem.Nom.Pl.st	wochen	woche
sein	DPOSA	sîn	sîn
rais	NA.Neut.Akk.Sg.st	râz	ras
er	PPER.Masc.Nom.Sg.3	er	ër
wande	VVFIN.*.Past.Sg.3	wânte	wænen
,	$_	,	,
des	DDART.Neut.Gen.Sg.*	des	dër
wissens	NA.Neut.Gen.Sg.wk	wizzennes	wizzen
warens	NA.Neut.Gen.Sg.st	wârenes	waren
gar	AVD	gar	gare
mitalle	AVD	mitalle	mitalle
frey	ADJD.Pos	vrî	vrî
.	$_	.	.
	
et	AVD	et	ëht
nicht	NA.Neut.Akk.Sg.st	niht	niht
wann	KOKOM	wan	wan
aim	DIART.Masc.Dat.Sg.st	eineme	èin
seimknecht	NA.Masc.Dat.Sg.st	<unknown>	samentknëht
tet	VVFIN.*.Past.Sg.3	tet	tuon
er	PPER.Masc.Nom.Sg.3	er	ër
es	PPER.Neut.Akk.Sg.3	ez	ër
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
und	KON	und	unte
jach:<	VVFIN.Ind.Past.Sg.3	jach	jëhen
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
hin	AVD	hin	hine
zu	AVD	zuo	zuo
brittan	NE.Dat.Sg	Brittan	Brittan
.	$_	.	.
	
wardt	VAFIN.Subj.Past.Sg.3|PPER.Neut.Nom.Sg.3	wær|iz	wësen|ër
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
verswigen	VVPP	verswigen	verswîgen
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
von	APPR	von	von
deinem	DPOSA.Masc.Dat.Sg.st	dînem	dîn
munde	NA.Masc.Dat.Sg.st	munde	mund
,	$_	,	,
das	KOUS	daz	dazz
du	PPER.*.Nom.Sg.2	dû	dû
mir	PPER.*.Dat.Sg.1	mir	ich
ninndert	AVD	niendert	niènder
rüegest	VVFIN.Subj.Pres.Sg.2	rüegest	rüègen
mein	DPOSA	mîn	mîn
namen	NA.Masc.Akk.Sg.*	namen	name
noch	KON	noch	noh
mein	DPOSA	mîn	mîn
lannde	NA.Neut.Akk.Sg.st	lande	lant
,	$_	,	,
wann	KO*	wanne	wante
du	PPER.*.Nom.Sg.2	dû	dû
mir	PPER.*.Dat.Sg.1	mir	ich
kumer	NA.Masc.Akk.Sg.st	kumber	kumber
füegest	VVFIN.*.Pres.Sg.2	vüegest	vüègen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
gar	AVD	gar	gare
aller	DIA.Fem.Dat.Sg.st	aller	all
diet	NA.Fem.Dat.Sg.st	diet	dièt
sein	VAINF	sîn	sîn
